City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Poya,NC,77.95,moderate rain,-21.35,165.15,
4,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
7,Port Elizabeth,ZA,78.1,light rain,-33.918,25.5701,39 On Nile Guest House
9,Sola,VU,81.81,overcast clouds,-13.8833,167.55,Leumerus Bungalows
11,Cockburn Town,TC,75.69,clear sky,21.4612,-71.1419,Osprey Beach Hotel
13,Cidreira,BR,81.25,clear sky,-30.1811,-50.2056,Hotel Castelo
14,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
15,Atuona,PF,78.78,clear sky,-9.8,-139.0333,Villa Enata
16,Solenzo,BF,83.28,clear sky,12.1833,-4.0833,
20,Tamandare,BR,83.55,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
21,Arraial Do Cabo,BR,84.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
23,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Morant Bay,JM,81.63,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
27,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
34,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
36,Isabela,PH,77.83,overcast clouds,6.7085,121.9711,Isawad Resort
43,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
44,Kolokani,ML,78.28,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
45,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
50,Kruisfontein,ZA,75.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
53,Knysna,ZA,76.24,scattered clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
55,Ancud,CL,75.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
59,Auki,SB,78.87,overcast clouds,-8.7676,160.7034,Auki Motel
64,Aitape,PG,77.54,overcast clouds,-3.1374,142.3475,
65,Rikitea,PF,79.09,clear sky,-23.1203,-134.9692,People ThankYou
70,San Policarpo,PH,79.97,scattered clouds,12.1791,125.5072,Agapita M. Nicart
79,Rawson,AR,75.85,clear sky,-43.3002,-65.1023,Hosteria Sampedro
84,Port Pirie,AU,76.46,clear sky,-33.1833,138.0167,John Pirie Motor Inn
88,Padang,ID,77.04,light rain,-0.9492,100.3543,Mercure Padang
91,Yangambi,CD,77.27,broken clouds,0.8102,24.4336,
99,Touros,BR,86.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
102,Bengkulu,ID,76.1,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
108,Port Alfred,ZA,75.02,scattered clouds,-33.5906,26.891,The Halyards Hotel
109,Cabo San Lucas,MX,76.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
113,Santa Cruz,BO,89.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
115,Sattahip,TH,83.98,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
121,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
126,Fare,PF,81.45,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
127,Voi,KE,76.77,moderate rain,-3.3945,38.563,Voi Wildlife Lodge
130,General Roca,AR,86.4,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
134,Bara,NG,75.04,clear sky,10.3744,10.7288,
135,Karratha,AU,83.79,clear sky,-20.7377,116.8463,ibis Styles Karratha
137,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
138,Buala,SB,80.69,light rain,-8.145,159.5921,Maringe Lagoon Lodge
139,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
140,Samarai,PG,81.55,overcast clouds,-10.6167,150.6667,Nuli Sapi
148,Kalmunai,LK,75.9,overcast clouds,7.4167,81.8167,VS Villa
151,Gizo,SB,83.03,overcast clouds,-8.103,156.8419,Imagination Island
158,Sambava,MG,76.15,broken clouds,-14.2667,50.1667,Melrose
161,Boende,CD,81.36,overcast clouds,-0.2167,20.8667,
166,Araguacu,BR,84.06,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
167,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
168,Alofi,NU,80.44,overcast clouds,-19.0595,-169.9187,Taloa Heights
169,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
175,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
179,Alugan,PH,79.27,scattered clouds,12.2188,125.4808,JM Lodge
181,Coihaique,CL,82.35,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
183,Kavieng,PG,81.16,broken clouds,-2.5744,150.7967,Nusa Island Retreat
192,Kumba,CM,76.71,clear sky,4.6363,9.4469,El Bethel Hotel
193,Bousso,TD,79.9,broken clouds,10.4795,16.7117,
194,Isangel,VU,79.72,light rain,-19.55,169.2667,Tanna Lodge
207,Port-Gentil,GA,80.37,scattered clouds,-0.7193,8.7815,Fengshui Residence
211,Bambous Virieux,MU,79.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
218,Namibe,AO,75.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
219,Yenagoa,NG,82.24,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
221,Arawa,PG,76.93,overcast clouds,-6.2132,155.5367,Coastline Guest House
230,Pontes E Lacerda,BR,81.3,overcast clouds,-15.2261,-59.3353,Hotel Bressan
231,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
233,Poum,NC,80.08,overcast clouds,-20.2333,164.0167,
235,Faanui,PF,81.23,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
236,Chapadinha,BR,84.11,broken clouds,-3.7417,-43.3603,Chapadinhense Hotel
237,El Alto,PE,80.26,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
242,Hithadhoo,MV,82.47,scattered clouds,-0.6,73.0833,Scoop Guest House
245,Kapoeta,SS,83.7,overcast clouds,4.7717,33.5903,Eastgate Hotel
248,Angoche,MZ,77.22,light rain,-16.2325,39.9086,Guest House HESADA
251,Axim,GH,80.15,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
254,Chuy,UY,75.27,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
255,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
258,Tual,ID,82.83,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
262,Monte Patria,CL,87.22,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
263,Carutapera,BR,80.4,moderate rain,-1.195,-46.02,Lidera
278,Kita,ML,83.93,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
279,Manoel Urbano,BR,80.8,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
283,Edd,ER,75.52,overcast clouds,13.9297,41.6925,
284,Bouca,CF,77.7,overcast clouds,6.5105,18.2733,
288,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
296,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
300,Mahebourg,MU,79.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
