City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lorengau,PG,-2.0226,147.2712,81.72,78,96,6.31,overcast clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,93.06,49,0,16.11,clear sky
2,Bredasdorp,ZA,-34.5322,20.0403,73.27,28,31,11.45,scattered clouds
3,Butaritari,KI,3.0707,172.7902,81.09,78,60,15.3,light rain
4,Nemuro,JP,43.3236,145.575,22.42,74,52,18.84,broken clouds
5,Rikitea,PF,-23.1203,-134.9692,78.73,72,100,16.42,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,68.11,54,75,17.27,broken clouds
7,Kruisfontein,ZA,-34.0033,24.7314,81.88,54,78,17.69,broken clouds
8,Elmira,US,42.0898,-76.8077,23.4,68,15,10.69,few clouds
9,Cape Town,ZA,-33.9258,18.4232,83.12,53,20,5.99,few clouds
10,Caucaia,BR,-3.7361,-38.6531,87.75,70,40,12.66,scattered clouds
11,Payo,ID,-3.7508,103.6372,72.77,97,100,2.77,overcast clouds
12,Atuona,PF,-9.8,-139.0333,78.42,75,11,19.8,few clouds
13,Semey,KZ,50.4111,80.2275,-0.15,78,0,5.7,clear sky
14,Hobart,AU,-42.8794,147.3294,55.06,82,33,0.0,scattered clouds
15,Mahebourg,MU,-20.4081,57.7,79.25,82,46,12.73,scattered clouds
16,Bluff,NZ,-46.6,168.3333,41.81,78,0,5.39,clear sky
17,Bengkulu,ID,-3.8004,102.2655,77.0,83,98,7.43,overcast clouds
18,Lebu,CL,-37.6167,-73.65,66.99,60,0,13.76,clear sky
19,Minjur,IN,13.2667,80.2667,81.0,70,100,8.41,overcast clouds
20,Elliot Lake,CA,46.3834,-82.6331,23.09,89,100,10.38,light snow
21,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,70,8.01,broken clouds
22,Albany,US,42.6001,-73.9662,22.62,54,17,1.99,few clouds
23,Termoli,IT,41.9888,14.9895,53.58,75,3,11.34,clear sky
24,Port Macquarie,AU,-31.4333,152.9167,62.89,78,91,11.88,overcast clouds
25,Praya,CV,14.9215,-23.5087,81.14,36,0,18.41,clear sky
26,Qaqortoq,GL,60.7167,-46.0333,7.3,56,100,5.53,overcast clouds
27,Seminole,US,28.7086,-81.2081,66.22,90,100,1.01,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,77.52,78,0,31.41,clear sky
29,Rio Gallegos,AR,-51.6226,-69.2181,69.85,46,75,19.57,light rain
30,Yellowknife,CA,62.456,-114.3525,-12.44,86,100,11.01,overcast clouds
31,Bethel,US,41.3712,-73.414,24.73,54,0,1.01,clear sky
32,Constitucion,CL,-35.3333,-72.4167,73.13,51,2,6.04,clear sky
33,Te Anau,NZ,-45.4167,167.7167,39.97,93,2,1.59,clear sky
34,Kapaa,US,22.0752,-159.319,73.72,86,75,10.36,light rain
35,New Norfolk,AU,-42.7826,147.0587,54.72,67,49,1.32,scattered clouds
36,Vaini,TO,-21.2,-175.2,73.56,94,100,9.22,drizzle
37,Saskylakh,RU,71.9167,114.0833,-26.09,100,97,1.45,overcast clouds
38,Tuktoyaktuk,CA,69.4541,-133.0374,-15.29,98,100,10.42,overcast clouds
39,Victoria,HK,22.2855,114.1577,62.65,84,100,1.99,overcast clouds
40,Jamestown,US,42.097,-79.2353,27.01,47,0,7.0,clear sky
41,Rawson,AR,-43.3002,-65.1023,73.38,38,15,14.25,few clouds
42,Adelaide,AU,-34.9333,138.6,78.42,30,0,7.0,clear sky
43,Ushuaia,AR,-54.8,-68.3,58.23,55,82,6.62,broken clouds
44,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.11,77,100,13.38,overcast clouds
45,Kavieng,PG,-2.5744,150.7967,81.55,78,100,3.78,overcast clouds
